ori_idx,prompt
1,birds have more legs than octopuses. Do birds have more legs than octopuses?
1,birds have more legs than octopuses. Do birds have fewer legs than octopuses?
1,birds have more legs than octopuses. Do octopuses have more legs than birds?
1,birds have more legs than octopuses. Do octopuses have fewer legs than birds?
1,birds have fewer legs than octopuses. Do birds have more legs than octopuses?
1,birds have fewer legs than octopuses. Do birds have fewer legs than octopuses?
1,birds have fewer legs than octopuses. Do octopuses have more legs than birds?
1,birds have fewer legs than octopuses. Do octopuses have fewer legs than birds?
1,octopuses have more legs than birds. Do birds have more legs than octopuses?
1,octopuses have more legs than birds. Do birds have fewer legs than octopuses?
1,octopuses have more legs than birds. Do octopuses have more legs than birds?
1,octopuses have more legs than birds. Do octopuses have fewer legs than birds?
1,octopuses have fewer legs than birds. Do birds have more legs than octopuses?
1,octopuses have fewer legs than birds. Do birds have fewer legs than octopuses?
1,octopuses have fewer legs than birds. Do octopuses have more legs than birds?
1,octopuses have fewer legs than birds. Do octopuses have fewer legs than birds?
3,nests are bigger than igloos. Are nests bigger than igloos?
3,nests are bigger than igloos. Are nests smaller than igloos?
3,nests are bigger than igloos. Is igloos bigger than nests?
3,nests are bigger than igloos. Is igloos smaller than nests?
3,nests are smaller than igloos. Are nests bigger than igloos?
3,nests are smaller than igloos. Are nests smaller than igloos?
3,nests are smaller than igloos. Is igloos bigger than nests?
3,nests are smaller than igloos. Is igloos smaller than nests?
3,igloos are bigger than nests. Are nests bigger than igloos?
3,igloos are bigger than nests. Are nests smaller than igloos?
3,igloos are bigger than nests. Is igloos bigger than nests?
3,igloos are bigger than nests. Is igloos smaller than nests?
3,igloos are smaller than nests. Are nests bigger than igloos?
3,igloos are smaller than nests. Are nests smaller than igloos?
3,igloos are smaller than nests. Is igloos bigger than nests?
3,igloos are smaller than nests. Is igloos smaller than nests?
5,molehills are bigger than mountains. Are molehills bigger than mountains?
5,molehills are bigger than mountains. Are molehills smaller than mountains?
5,molehills are bigger than mountains. Are mountains bigger than molehills?
5,molehills are bigger than mountains. Are mountains smaller than molehills?
5,molehills are smaller than mountains. Are molehills bigger than mountains?
5,molehills are smaller than mountains. Are molehills smaller than mountains?
5,molehills are smaller than mountains. Are mountains bigger than molehills?
5,molehills are smaller than mountains. Are mountains smaller than molehills?
5,mountains are bigger than molehills. Are molehills bigger than mountains?
5,mountains are bigger than molehills. Are molehills smaller than mountains?
5,mountains are bigger than molehills. Are mountains bigger than molehills?
5,mountains are bigger than molehills. Are mountains smaller than molehills?
5,mountains are smaller than molehills. Are molehills bigger than mountains?
5,mountains are smaller than molehills. Are molehills smaller than mountains?
5,mountains are smaller than molehills. Are mountains bigger than molehills?
5,mountains are smaller than molehills. Are mountains smaller than molehills?
7,trees are bigger than buildings. Are trees bigger than buildings?
7,trees are bigger than buildings. Are trees smaller than buildings?
7,trees are bigger than buildings. Are buildings bigger than trees?
7,trees are bigger than buildings. Are buildings smaller than trees?
7,trees are smaller than buildings. Are trees bigger than buildings?
7,trees are smaller than buildings. Are trees smaller than buildings?
7,trees are smaller than buildings. Are buildings bigger than trees?
7,trees are smaller than buildings. Are buildings smaller than trees?
7,buildings are bigger than trees. Are trees bigger than buildings?
7,buildings are bigger than trees. Are trees smaller than buildings?
7,buildings are bigger than trees. Are buildings bigger than trees?
7,buildings are bigger than trees. Are buildings smaller than trees?
