,Unnamed: 0,index,name,prompt_name,input,continuations,correct_answer,is_consistent,is_nonsense,is_realistic,logprobs,multiple_choice_grade,human_matched_logprobs,human_matched_multiple_choice_grade
0,0,0,353773572297464588,Human-like,"If birds have more legs than octopuses, then octopuses have ","['fewer legs than birds', 'more legs than birds']",['fewer legs than birds'],False,False,True,[-2.20136213 -3.72330809],True,[-0.98111618 -4.49789715],True
2,2,2,-740004897056781240,Human-like,"If nests are bigger than igloos, then igloos are ","['smaller than nests', 'bigger than nests']",['smaller than nests'],False,False,True,[-2.60585213 -4.43024874],True,[-0.8722111  -4.63323641],True
4,4,4,-5787885742244536104,Human-like,"If molehills are bigger than mountains, then mountains are ","['smaller than molehills', 'bigger than molehills']",['smaller than molehills'],False,False,True,[-2.835145   -4.29312038],True,[-1.02232945 -3.66200924],True
6,6,6,-6396918932069099436,Human-like,"If trees are bigger than buildings, then buildings are ","['smaller than trees', 'bigger than trees']",['smaller than trees'],False,False,True,[-2.57747388 -4.86066484],True,[-0.87466711 -4.52084303],True
8,8,8,7392249386315407881,Human-like,"If puddles are bigger than seas, then seas are ","['smaller than puddles', 'bigger than puddles']",['smaller than puddles'],False,False,True,[-2.88027763 -4.25279427],True,[-1.02380741 -3.65795016],True
10,10,10,-5927414163476502549,Human-like,"If the moon is bigger than the earth, then the earth is ","['smaller than the moon', 'bigger than the moon']",['smaller than the moon'],False,False,True,[-2.00842547 -3.80252528],True,[-1.05928004 -3.43808913],True
12,12,12,-6701910865063480594,Human-like,"If a nightmare is more peaceful than a dream, then a dream is ","['less peaceful than a nightmare', 'more peaceful than a nightmare']",['less peaceful than a nightmare'],False,False,True,[-4.24076462 -5.55842257],True,[-1.31652009 -2.31789637],True
14,14,14,-6202768054935170214,Human-like,"If clouds are more useful than paper, then paper is ","['less useful than clouds', 'more useful than clouds']",['less useful than clouds'],False,False,True,[-3.24313354 -6.06645679],True,[-0.85956991 -4.75299788],True
16,16,16,1935483848020180557,Human-like,"If fire is more wet than rain, then rain is ","['less wet than fire', 'more wet than fire']",['less wet than fire'],False,False,True,[-5.12684917 -6.87936115],True,[-1.23607099 -2.36229467],True
18,18,18,-2595073126183598501,Human-like,"If weeds are more beautiful than roses, then roses are ","['less beautiful than weeds', 'more beautiful than weeds']",['less beautiful than weeds'],False,False,True,[-3.02530384 -3.51019955],True,[-0.83665365 -5.21912575],True
20,20,20,-906958090463061792,Human-like,"If the Arctic is hotter than the Sahara desert, then the Sahara desert is ","['colder than the Arctic', 'hotter than the Arctic']",['colder than the Arctic'],False,False,True,[-3.25846648 -5.25411129],True,[-1.01768494 -2.27864981],True
22,22,22,-9019237303679589020,Human-like,"If war is better than peace, then peace is ","['worse than war', 'better than war']",['worse than war'],False,False,True,[-2.07612085 -2.54133081],True,[-0.9488557  -4.95610857],True
24,24,24,1263091886492330912,Human-like,"If the Earth is bigger than Jupiter, then Jupiter is ","['smaller than the Earth', 'bigger than the Earth']",['smaller than the Earth'],False,False,True,[-2.20485473 -4.31363153],True,[-0.97161984 -3.8342247 ],True
26,26,26,-6027038608312630253,Human-like,"If summer is colder than winter, then winter is ","['hotter than summer', 'colder than summer']",['hotter than summer'],False,False,True,[-3.60540152 -4.99090004],True,[-0.91993767 -3.42352653],True
28,28,28,-5649846735604791098,Human-like,"If lakes are bigger than oceans, then oceans are ","['smaller than lakes', 'bigger than lakes']",['smaller than lakes'],False,False,True,[-2.28898454 -3.77250004],True,[-0.92567432 -3.68317103],True
30,30,30,-5839232697906939787,Human-like,"If darkness is brighter than light, then light is ","['darker than darkness', 'brighter than darkness']",['darker than darkness'],False,False,True,[-2.71994233 -4.15626907],True,[-1.18510199 -3.56077623],True
32,32,32,-308199501963705876,Human-like,"If Japan is bigger than America, then America is ","['smaller than Japan', 'bigger than Japan']",['smaller than Japan'],False,False,True,[-2.2829237  -4.80168772],True,[-0.82924521 -3.84155178],True
34,34,34,7083483013736700465,Human-like,"If ants are prettier than butterflies, then butterflies are ","['uglier than ants', 'prettier than ants']",['uglier than ants'],False,False,True,[-2.86456013 -4.25076246],True,[-1.12016916 -3.63482451],True
36,36,36,-6470664818760543412,Human-like,"If rain is colder than snow, then snow is ","['hotter than rain', 'colder than rain']",['hotter than rain'],False,False,True,[-4.25517988 -4.33058739],True,[-1.22970009 -2.22904325],True
38,38,38,-6833689532122239617,Human-like,"If shrubs are taller than trees, then trees are ","['shorter than shrubs', 'taller than shrubs']",['shorter than shrubs'],False,False,True,[-2.58440685 -5.90319872],True,[-0.88038892 -4.01915932],True
40,40,40,3852063665562164200,Human-like,"If water is colder than ice, then ice is ","['hotter than water', 'colder than water']",['hotter than water'],False,False,True,[-4.05207443 -3.59749985],False,[-1.4024092  -1.77578807],True
42,42,42,-8212542471904829904,Human-like,"If hills are higher than mountains, then mountains are ","['shorter than hills', 'higher than hills']",['shorter than hills'],False,False,True,[-6.40075874 -4.38335371],False,[-1.03924108 -2.79319167],True
44,44,44,1835079163446477472,Human-like,"If children are bigger than adults, then adults are ","['smaller than children', 'bigger than children']",['smaller than children'],False,False,True,[-2.31242537 -3.77604795],True,[-0.87946862 -3.64155769],True
46,46,46,-809109503967777128,Human-like,"If snakes are less scary than lizards, then lizards are ","['less scary than snakes', 'less scary than snakes']",['less scary than snakes'],False,False,True,[-5.37042618 -5.37042618],True,[-1.85545838 -1.85545838],True
48,48,48,8573774736638981572,Human-like,"If turtles are faster than wolves, then wolves are ","['slower than turtles', 'faster than turtles']",['slower than turtles'],False,False,True,[-1.83378541 -5.17193556],True,[-0.89420778 -3.658916  ],True
50,50,50,-1845346098479525325,Human-like,"If winter is hotter than summer, then summer is ","['colder than winter', 'hotter than winter']",['colder than winter'],False,False,True,[-2.73827839 -5.90235996],True,[-0.89760512 -3.30786991],True
