,index,name,prompt_name,input,continuations,correct_answer,is_consistent,is_nonsense,is_realistic,logprobs,multiple_choice_grade,human_matched_logprobs,human_matched_multiple_choice_grade
0,0,353773572297464588,Human-like,"If birds have more legs than octopuses, then octopuses have ","['fewer legs than birds', 'more legs than birds']",['fewer legs than birds'],False,False,True,[-2.20136213 -3.72330809],True,[-0.98111618 -4.49789715],True
1,1,4556910622852732112,Human-like,"If birds have fewer legs than octopuses, then octopuses have ","['more legs than birds', 'fewer legs than birds']",['more legs than birds'],True,False,True,[-2.09814024 -4.95558834],True,[-1.06984663 -5.33391047],True
2,2,-740004897056781240,Human-like,"If nests are bigger than igloos, then igloos are ","['smaller than nests', 'bigger than nests']",['smaller than nests'],False,False,True,[-2.60585213 -4.43024874],True,[-0.8722111  -4.63323641],True
3,3,8089988138108333280,Human-like,"If nests are smaller than igloos, then igloos are ","['bigger than nests', 'smaller than nests']",['bigger than nests'],True,False,True,[-3.57045841 -4.72316694],True,[-0.9477579  -5.20840883],True
4,4,-5787885742244536104,Human-like,"If molehills are bigger than mountains, then mountains are ","['smaller than molehills', 'bigger than molehills']",['smaller than molehills'],False,False,True,[-2.835145   -4.29312038],True,[-1.02232945 -3.66200924],True
5,5,-5980943527471895486,Human-like,"If molehills are smaller than mountains, then mountains are ","['bigger than molehills', 'smaller than molehills']",['bigger than molehills'],True,False,True,[-3.25677729 -6.44883776],True,[-0.95326149 -5.732862  ],True
6,6,-6396918932069099436,Human-like,"If trees are bigger than buildings, then buildings are ","['smaller than trees', 'bigger than trees']",['smaller than trees'],False,False,True,[-2.57747388 -4.86066484],True,[-0.87466711 -4.52084303],True
7,7,-6161920471928851323,Human-like,"If trees are smaller than buildings, then buildings are ","['bigger than trees', 'smaller than trees']",['bigger than trees'],True,False,True,[-3.66934443 -4.76796341],True,[-0.88866884 -5.03578472],True
8,8,7392249386315407881,Human-like,"If puddles are bigger than seas, then seas are ","['smaller than puddles', 'bigger than puddles']",['smaller than puddles'],False,False,True,[-2.88027763 -4.25279427],True,[-1.02380741 -3.65795016],True
9,9,-3300795068087188707,Human-like,"If puddles are smaller than seas, then seas are ","['bigger than puddles', 'smaller than puddles']",['bigger than puddles'],True,False,True,[-3.5312438  -6.64994287],True,[-0.86205202 -5.49500179],True
10,10,-5927414163476502549,Human-like,"If the moon is bigger than the earth, then the earth is ","['smaller than the moon', 'bigger than the moon']",['smaller than the moon'],False,False,True,[-2.00842547 -3.80252528],True,[-1.05928004 -3.43808913],True
11,11,5887492130568330782,Human-like,"If the moon is smaller than the earth, then the earth is ","['bigger than the moon', 'smaller than the moon']",['bigger than the moon'],True,False,True,[-3.23005557 -5.68768883],True,[-0.93582934 -4.82241058],True
12,12,-6701910865063480594,Human-like,"If a nightmare is more peaceful than a dream, then a dream is ","['less peaceful than a nightmare', 'more peaceful than a nightmare']",['less peaceful than a nightmare'],False,False,True,[-4.24076462 -5.55842257],True,[-1.31652009 -2.31789637],True
13,13,7446952098048495769,Human-like,"If a nightmare is less peaceful than a dream, then a dream is ","['more peaceful than a nightmare', 'less peaceful than a nightmare']",['more peaceful than a nightmare'],True,False,True,[-4.0181303  -7.02302647],True,[-0.9936043  -5.38844919],True
14,14,-6202768054935170214,Human-like,"If clouds are more useful than paper, then paper is ","['less useful than clouds', 'more useful than clouds']",['less useful than clouds'],False,False,True,[-3.24313354 -6.06645679],True,[-0.85956991 -4.75299788],True
15,15,-4402034151617450847,Human-like,"If clouds is less useful than paper, then paper is ","['more useful than clouds', 'less useful than clouds']",['more useful than clouds'],True,False,True,[-2.68760395 -5.47949553],True,[-1.21317983 -4.59866524],True
16,16,1935483848020180557,Human-like,"If fire is more wet than rain, then rain is ","['less wet than fire', 'more wet than fire']",['less wet than fire'],False,False,True,[-5.12684917 -6.87936115],True,[-1.23607099 -2.36229467],True
17,17,4087225834866934120,Human-like,"If fire is less wet than rain, then rain is ","['more wet than fire', 'less wet than fire']",['more wet than fire'],True,False,True,[-4.55824089 -6.57640266],True,[-1.12264323 -4.50922203],True
18,18,-2595073126183598501,Human-like,"If weeds are more beautiful than roses, then roses are ","['less beautiful than weeds', 'more beautiful than weeds']",['less beautiful than weeds'],False,False,True,[-3.02530384 -3.51019955],True,[-0.83665365 -5.21912575],True
19,19,2238435225246541453,Human-like,"If weeds are less beautiful than roses, then roses are ","['more beautiful than weeds', 'less beautiful than weeds']",['more beautiful than weeds'],True,False,True,[-2.69585991 -4.89260864],True,[-0.94760454 -5.73709822],True
20,20,-906958090463061792,Human-like,"If the Arctic is hotter than the Sahara desert, then the Sahara desert is ","['colder than the Arctic', 'hotter than the Arctic']",['colder than the Arctic'],False,False,True,[-3.25846648 -5.25411129],True,[-1.01768494 -2.27864981],True
21,21,-7351310407398577285,Human-like,"If the Sahara desert is colder than the Arctic, then the Sahara desert is ","['hotter than the Arctic', 'colder than the Arctic']",['hotter than the Arctic'],True,False,True,[-4.39467716 -2.8282268 ],False,[-1.44911587 -1.70352733],True
22,22,-9019237303679589020,Human-like,"If war is better than peace, then peace is ","['worse than war', 'better than war']",['worse than war'],False,False,True,[-2.07612085 -2.54133081],True,[-0.9488557  -4.95610857],True
23,23,641466891538537911,Human-like,"If war is worse than peace, then peace is ","['better than war', 'worse than war']",['better than war'],True,False,True,[-1.86408818 -3.65171838],True,[-1.02401137 -3.91829276],True
24,24,1263091886492330912,Human-like,"If the Earth is bigger than Jupiter, then Jupiter is ","['smaller than the Earth', 'bigger than the Earth']",['smaller than the Earth'],False,False,True,[-2.20485473 -4.31363153],True,[-0.97161984 -3.8342247 ],True
25,25,-3096750830088355151,Human-like,"If Earth is smaller than the Jupiter, then Jupiter is ","['bigger than the Earth', 'smaller than the Earth']",['bigger than the Earth'],True,False,True,[-3.9239521  -5.69256639],True,[-1.05216765 -4.92993164],True
26,26,-6027038608312630253,Human-like,"If summer is colder than winter, then winter is ","['hotter than summer', 'colder than summer']",['hotter than summer'],False,False,True,[-3.60540152 -4.99090004],True,[-0.91993767 -3.42352653],True
27,27,-4016624133278071867,Human-like,"If summer is hotter than winter, then winter is ","['colder than summer', 'hotter than summer']",['colder than summer'],True,False,True,[-3.31395459 -6.1711216 ],True,[-0.8082481  -4.09775686],True
28,28,-5649846735604791098,Human-like,"If lakes are bigger than oceans, then oceans are ","['smaller than lakes', 'bigger than lakes']",['smaller than lakes'],False,False,True,[-2.28898454 -3.77250004],True,[-0.92567432 -3.68317103],True
29,29,2693954123957747559,Human-like,"If lakes are smaller than oceans, then oceans are ","['bigger than lakes', 'smaller than lakes']",['bigger than lakes'],True,False,True,[-3.79277134 -5.02024221],True,[-0.87304318 -5.50356579],True
30,30,-5839232697906939787,Human-like,"If darkness is brighter than light, then light is ","['darker than darkness', 'brighter than darkness']",['darker than darkness'],False,False,True,[-2.71994233 -4.15626907],True,[-1.18510199 -3.56077623],True
31,31,-4149835315430007994,Human-like,"If darkness is darker than light, then light is ","['brighter than darkness', 'darker than darkness']",['brighter than darkness'],True,False,True,[-4.08214474 -4.07328415],False,[-1.34959912 -3.24076247],True
